Release 7.1i - par H.38
Copyright (c) 1995-2005 Xilinx, Inc.  All rights reserved.

#Tue Apr  5 08:56:35 2005

#
## NOTE: This file is designed to be imported into a spreadsheet program
# such as Microsoft Excel for viewing, printing and sorting. The |
# character is used as the data field separator. This file is also designed
# to support parsing.
#
#INPUT FILE:       math.map.ncd
#OUTPUT FILE:      math.par_pad.csv
#PART TYPE:        xc3s200
#SPEED GRADE:      -4
#PACKAGE:          ft256
#
# Pinout by Pin Number:
# 
# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
# Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,Drive (mA),Slew Rate,Termination,IOB Delay,Voltage,Constraint,DCI Value,IO Register,Signal Integrity,
A1,,,GND,,,,,,,,,,,,,
A2,,,TDI,,,,,,,,,,,,,
D1,d<15>,IOB,IO_L17N_7,INPUT,LVCMOS25,7,,,,NONE,,,,NO,NONE,
D2,d<13>,IOB,IO_L17P_7,INPUT,LVCMOS25,7,,,,NONE,,,,NO,NONE,
D3,c<15>,IOB,IO_L19P_7,INPUT,LVCMOS25,7,,,,NONE,,,,NO,NONE,
D4,,,VCCINT,,,,,,,,1.2,,,,,
D5,c<11>,IOB,IO/VREF_0,INPUT,LVCMOS25,0,,,,NONE,,,,NO,NONE,
D6,c<0>,IOB,IO_L27P_0,INPUT,LVCMOS25,0,,,,NONE,,,,NO,NONE,
D7,c<6>,IOB,IO_L29P_0,INPUT,LVCMOS25,0,,,,NONE,,,,NO,NONE,
D8,,DIFFS,IO_L31N_0,UNUSED,,0,,,,,,,,,,
D9,,DIFFM,IO_L32P_1/GCLK4,UNUSED,,1,,,,,,,,,,
D10,,DIFFS,IO_L30N_1,UNUSED,,1,,,,,,,,,,
D11,,DIFFS,IO_L28N_1,UNUSED,,1,,,,,,,,,,
D12,,IOB,IO/VREF_1,UNUSED,,1,,,,,,,,,,
D13,,,VCCINT,,,,,,,,1.2,,,,,
D14,,DIFFM,IO_L16P_2,UNUSED,,2,,,,,,,,,,
D15,,DIFFS,IO_L17N_2,UNUSED,,2,,,,,,,,,,
D16,,DIFFM,IO_L17P_2/VREF_2,UNUSED,,2,,,,,,,,,,
E1,c<14>,IOB,IO_L20N_7,INPUT,LVCMOS25,7,,,,NONE,,,,NO,NONE,
E2,c<13>,IOB,IO_L20P_7,INPUT,LVCMOS25,7,,,,NONE,,,,NO,NONE,
E3,d<14>,IOB,IO_L19N_7/VREF_7,INPUT,LVCMOS25,7,,,,NONE,,,,NO,NONE,
E4,d<8>,IOB,IO_L21P_7,INPUT,LVCMOS25,7,,,,NONE,,,,NO,NONE,
E5,,,VCCINT,,,,,,,,1.2,,,,,
E6,d<0>,IOB,IO_L27N_0,INPUT,LVCMOS25,0,,,,NONE,,,,NO,NONE,
E7,c<7>,IOB,IO_L29N_0,INPUT,LVCMOS25,0,,,,NONE,,,,NO,NONE,
E8,,,VCCO_0,,,0,,,,,2.50,,,,,
E9,,,VCCO_1,,,1,,,,,any******,,,,,
E10,,DIFFM,IO_L30P_1,UNUSED,,1,,,,,,,,,,
E11,,DIFFM,IO_L28P_1,UNUSED,,1,,,,,,,,,,
E12,,,VCCINT,,,,,,,,1.2,,,,,
E13,,DIFFS,IO_L19N_2,UNUSED,,2,,,,,,,,,,
E14,,DIFFM,IO_L19P_2,UNUSED,,2,,,,,,,,,,
E15,,DIFFS,IO_L20N_2,UNUSED,,2,,,,,,,,,,
E16,,DIFFM,IO_L20P_2,UNUSED,,2,,,,,,,,,,
F1,,,VCCAUX,,,,,,,,2.5,,,,,
F2,d<9>,IOB,IO_L22N_7,INPUT,LVCMOS25,7,,,,NONE,,,,NO,NONE,
F3,d<10>,IOB,IO_L22P_7,INPUT,LVCMOS25,7,,,,NONE,,,,NO,NONE,
F4,d<11>,IOB,IO_L21N_7,INPUT,LVCMOS25,7,,,,NONE,,,,NO,NONE,
F5,d<7>,IOB,IO_L23P_7,INPUT,LVCMOS25,7,,,,NONE,,,,NO,NONE,
F6,,,GND,,,,,,,,,,,,,
F7,,,VCCO_0,,,0,,,,,2.50,,,,,
F8,,,VCCO_0,,,0,,,,,2.50,,,,,
F9,,,VCCO_1,,,1,,,,,any******,,,,,
F10,,,VCCO_1,,,1,,,,,any******,,,,,
F11,,,GND,,,,,,,,,,,,,
F12,,DIFFS,IO_L21N_2,UNUSED,,2,,,,,,,,,,
F13,,DIFFM,IO_L21P_2,UNUSED,,2,,,,,,,,,,
F14,,DIFFS,IO_L22N_2,UNUSED,,2,,,,,,,,,,
F15,,DIFFM,IO_L22P_2,UNUSED,,2,,,,,,,,,,
F16,,,VCCAUX,,,,,,,,2.5,,,,,
G1,,DIFFM,IO_L40P_7,UNUSED,,7,,,,,,,,,,
G2,d<4>,IOB,IO,INPUT,LVCMOS25,7,,,,NONE,,,,NO,NONE,
G3,c<1>,IOB,IO_L24N_7,INPUT,LVCMOS25,7,,,,NONE,,,,NO,NONE,
G4,c<4>,IOB,IO_L24P_7,INPUT,LVCMOS25,7,,,,NONE,,,,NO,NONE,
G5,d<12>,IOB,IO_L23N_7,INPUT,LVCMOS25,7,,,,NONE,,,,NO,NONE,
G6,,,VCCO_7,,,7,,,,,2.50,,,,,
G7,,,GND,,,,,,,,,,,,,
G8,,,GND,,,,,,,,,,,,,
G9,,,GND,,,,,,,,,,,,,
G10,,,GND,,,,,,,,,,,,,
G11,,,VCCO_2,,,2,,,,,any******,,,,,
G12,,DIFFS,IO_L23N_2/VREF_2,UNUSED,,2,,,,,,,,,,
G13,,DIFFM,IO_L23P_2,UNUSED,,2,,,,,,,,,,
G14,,DIFFS,IO_L24N_2,UNUSED,,2,,,,,,,,,,
G15,,DIFFM,IO_L24P_2,UNUSED,,2,,,,,,,,,,
G16,,DIFFM,IO,UNUSED,,2,,,,,,,,,,
H1,,DIFFS,IO_L40N_7/VREF_7,UNUSED,,7,,,,,,,,,,
H2,,,GND,,,,,,,,,,,,,
H3,,DIFFS,IO_L39N_7,UNUSED,,7,,,,,,,,,,
H4,,DIFFM,IO_L39P_7,UNUSED,,7,,,,,,,,,,
H5,,,VCCO_7,,,7,,,,,2.50,,,,,
H6,,,VCCO_7,,,7,,,,,2.50,,,,,
H7,,,GND,,,,,,,,,,,,,
H8,,,GND,,,,,,,,,,,,,
H9,,,GND,,,,,,,,,,,,,
H10,,,GND,,,,,,,,,,,,,
H11,,,VCCO_2,,,2,,,,,any******,,,,,
H12,,,VCCO_2,,,2,,,,,any******,,,,,
H13,,DIFFS,IO_L39N_2,UNUSED,,2,,,,,,,,,,
H14,,DIFFM,IO_L39P_2,UNUSED,,2,,,,,,,,,,
H15,,DIFFS,IO_L40N_2,UNUSED,,2,,,,,,,,,,
H16,,DIFFM,IO_L40P_2/VREF_2,UNUSED,,2,,,,,,,,,,
J1,,DIFFM,IO_L40P_6/VREF_6,UNUSED,,6,,,,,,,,,,
J2,,DIFFS,IO_L40N_6,UNUSED,,6,,,,,,,,,,
J3,,DIFFM,IO_L39P_6,UNUSED,,6,,,,,,,,,,
J4,,DIFFS,IO_L39N_6,UNUSED,,6,,,,,,,,,,
J5,,,VCCO_6,,,6,,,,,2.50,,,,,
J6,,,VCCO_6,,,6,,,,,2.50,,,,,
J7,,,GND,,,,,,,,,,,,,
J8,,,GND,,,,,,,,,,,,,
J9,,,GND,,,,,,,,,,,,,
J10,,,GND,,,,,,,,,,,,,
J11,,,VCCO_3,,,3,,,,,2.50,,,,,
J12,,,VCCO_3,,,3,,,,,2.50,,,,,
J13,,DIFFM,IO_L39P_3,UNUSED,,3,,,,,,,,,,
J14,,DIFFS,IO_L39N_3,UNUSED,,3,,,,,,,,,,
J15,,,GND,,,,,,,,,,,,,
J16,,DIFFS,IO_L40N_3/VREF_3,UNUSED,,3,,,,,,,,,,
K1,,DIFFM,IO,UNUSED,,6,,,,,,,,,,
K2,,DIFFM,IO_L24P_6,UNUSED,,6,,,,,,,,,,
K3,,DIFFS,IO_L24N_6/VREF_6,UNUSED,,6,,,,,,,,,,
K4,,DIFFM,IO_L23P_6,UNUSED,,6,,,,,,,,,,
K5,,DIFFS,IO_L23N_6,UNUSED,,6,,,,,,,,,,
K6,,,VCCO_6,,,6,,,,,2.50,,,,,
K7,,,GND,,,,,,,,,,,,,
K8,,,GND,,,,,,,,,,,,,
K9,,,GND,,,,,,,,,,,,,
K10,,,GND,,,,,,,,,,,,,
K11,,,VCCO_3,,,3,,,,,2.50,,,,,
K12,,DIFFS,IO_L23N_3,UNUSED,,3,,,,,,,,,,
K13,,DIFFM,IO_L24P_3,UNUSED,,3,,,,,,,,,,
K14,,DIFFS,IO_L24N_3,UNUSED,,3,,,,,,,,,,
K15,,DIFFS,IO,UNUSED,,3,,,,,,,,,,
K16,,DIFFM,IO_L40P_3,UNUSED,,3,,,,,,,,,,
L1,,,VCCAUX,,,,,,,,2.5,,,,,
L2,,DIFFM,IO_L22P_6,UNUSED,,6,,,,,,,,,,
L3,,DIFFS,IO_L22N_6,UNUSED,,6,,,,,,,,,,
L4,,DIFFM,IO_L21P_6,UNUSED,,6,,,,,,,,,,
L5,,DIFFS,IO_L21N_6,UNUSED,,6,,,,,,,,,,
L6,,,GND,,,,,,,,,,,,,
L7,,,VCCO_5,,,5,,,,,2.50,,,,,
L8,,,VCCO_5,,,5,,,,,2.50,,,,,
L9,,,VCCO_4,,,4,,,,,2.50,,,,,
L10,,,VCCO_4,,,4,,,,,2.50,,,,,
L11,,,GND,,,,,,,,,,,,,
L12,,DIFFM,IO_L23P_3/VREF_3,UNUSED,,3,,,,,,,,,,
L13,rst,IOB,IO_L21N_3,INPUT,LVCMOS25,3,,,,NONE,,LOCATED,,NO,NONE,
L14,,DIFFM,IO_L22P_3,UNUSED,,3,,,,,,,,,,
L15,,DIFFS,IO_L22N_3,UNUSED,,3,,,,,,,,,,
L16,,,VCCAUX,,,,,,,,2.5,,,,,
M1,,DIFFM,IO_L20P_6,UNUSED,,6,,,,,,,,,,
M2,,DIFFS,IO_L20N_6,UNUSED,,6,,,,,,,,,,
M3,result<14>,IOB,IO_L19P_6,OUTPUT,LVCMOS25,6,12,SLOW,NONE**,,,,,YES,NONE,
M4,result<15>,IOB,IO_L19N_6,OUTPUT,LVCMOS25,6,12,SLOW,NONE**,,,,,YES,NONE,
M5,,,VCCINT,,,,,,,,1.2,,,,,
M6,result<13>,IOB,IO_L28P_5/D7,OUTPUT,LVCMOS25,5,12,SLOW,NONE**,,,,,YES,NONE,
M7,a<8>,IOB,IO_L30P_5,INPUT,LVCMOS25,5,,,,NONE,,,,NO,NONE,
M8,,,VCCO_5,,,5,,,,,2.50,,,,,
M9,,,VCCO_4,,,4,,,,,2.50,,,,,
M10,a<11>,IOB,IO_L29N_4,INPUT,LVCMOS25,4,,,,NONE,,,,NO,NONE,
M11,a<15>,IOB,IO_L27N_4/DIN/D0,INPUT,LVCMOS25,4,,,,NONE,,,,NO,NONE,
M12,,,VCCINT,,,,,,,,1.2,,,,,
M13,,DIFFM,IO_L21P_3,UNUSED,,3,,,,,,,,,,
M14,b<15>,IOB,IO_L19N_3,INPUT,LVCMOS25,3,,,,NONE,,,,NO,NONE,
M15,,DIFFM,IO_L20P_3,UNUSED,,3,,,,,,,,,,
M16,,DIFFS,IO_L20N_3,UNUSED,,3,,,,,,,,,,
N1,result<10>,IOB,IO_L17P_6/VREF_6,OUTPUT,LVCMOS25,6,12,SLOW,NONE**,,,,,YES,NONE,
N2,result<11>,IOB,IO_L17N_6,OUTPUT,LVCMOS25,6,12,SLOW,NONE**,,,,,YES,NONE,
N3,result<8>,IOB,IO_L16P_6,OUTPUT,LVCMOS25,6,12,SLOW,NONE**,,,,,YES,NONE,
N4,,,VCCINT,,,,,,,,1.2,,,,,
N5,result<7>,IOB,IO,OUTPUT,LVCMOS25,5,12,SLOW,NONE**,,,,,YES,NONE,
N6,result<9>,IOB,IO_L28N_5/D6,OUTPUT,LVCMOS25,5,12,SLOW,NONE**,,,,,YES,NONE,
N7,b<4>,IOB,IO_L30N_5,INPUT,LVCMOS25,5,,,,NONE,,,,NO,NONE,
N8,b<1>,IOB,IO_L32P_5/GCLK2,INPUT,LVCMOS25,5,,,,NONE,,,,NO,NONE,
N9,a<10>,IOB,IO_L31N_4/INIT_B,INPUT,LVCMOS25,4,,,,NONE,,,,NO,NONE,
N10,a<12>,IOB,IO_L29P_4,INPUT,LVCMOS25,4,,,,NONE,,,,NO,NONE,
N11,a<5>,IOB,IO_L27P_4/D1,INPUT,LVCMOS25,4,,,,NONE,,,,NO,NONE,
N12,b<7>,IOB,IO/VREF_4,INPUT,LVCMOS25,4,,,,NONE,,,,NO,NONE,
N13,,,VCCINT,,,,,,,,1.2,,,,,
N14,b<14>,IOB,IO_L19P_3,INPUT,LVCMOS25,3,,,,NONE,,,,NO,NONE,
N15,b<12>,IOB,IO_L17P_3/VREF_3,INPUT,LVCMOS25,3,,,,NONE,,,,NO,NONE,
N16,b<13>,IOB,IO_L17N_3,INPUT,LVCMOS25,3,,,,NONE,,,,NO,NONE,
P1,result<0>,IOB,IO_L01P_6/VRN_6,OUTPUT,LVCMOS25,6,12,SLOW,NONE**,,,,,YES,NONE,
P2,result<5>,IOB,IO_L16N_6,OUTPUT,LVCMOS25,6,12,SLOW,NONE**,,,,,YES,NONE,
P3,,,M0,,,,,,,,,,,,,
P4,,,M2,,,,,,,,,,,,,
P5,result<6>,IOB,IO_L27P_5,OUTPUT,LVCMOS25,5,12,SLOW,NONE**,,,,,YES,NONE,
P6,a<9>,IOB,IO_L29P_5/VREF_5,INPUT,LVCMOS25,5,,,,NONE,,,,NO,NONE,
P7,b<5>,IOB,IO,INPUT,LVCMOS25,5,,,,NONE,,,,NO,NONE,
P8,a<2>,IOB,IO_L32N_5/GCLK3,INPUT,LVCMOS25,5,,,,NONE,,,,NO,NONE,
P9,,DIFFM,IO_L31P_4/DOUT/BUSY,UNUSED,,4,,,,,,,,,,
P10,a<0>,IOB,IO_L30N_4/D2,INPUT,LVCMOS25,4,,,,NONE,,,,NO,NONE,
P11,a<14>,IOB,IO_L28N_4,INPUT,LVCMOS25,4,,,,NONE,,,,NO,NONE,
P12,b<10>,IOB,IO_L25N_4,INPUT,LVCMOS25,4,,,,NONE,,,,NO,NONE,
P13,b<6>,IOB,IO/VREF_4,INPUT,LVCMOS25,4,,,,NONE,,,,NO,NONE,
P14,b<8>,IOB,IO_L16P_3,INPUT,LVCMOS25,3,,,,NONE,,,,NO,NONE,
P15,b<9>,IOB,IO_L16N_3,INPUT,LVCMOS25,3,,,,NONE,,,,NO,NONE,
P16,,DIFFS,IO_L01N_3/VRP_3,UNUSED,,3,,,,,,,,,,
R1,,DIFFS,IO_L01N_6/VRP_6,UNUSED,,6,,,,,,,,,,
R2,,,GND,,,,,,,,,,,,,
R3,,DIFFM,IO_L01P_5/CS_B,UNUSED,,5,,,,,,,,,,
R4,result<2>,IOB,IO_L10P_5/VRN_5,OUTPUT,LVCMOS25,5,12,SLOW,NONE**,,,,,YES,NONE,
R5,result<4>,IOB,IO_L27N_5/VREF_5,OUTPUT,LVCMOS25,5,12,SLOW,NONE**,,,,,YES,NONE,
R6,b<11>,IOB,IO_L29N_5,INPUT,LVCMOS25,5,,,,NONE,,,,NO,NONE,
R7,a<7>,IOB,IO_L31P_5/D5,INPUT,LVCMOS25,5,,,,NONE,,,,NO,NONE,
R8,,,GND,,,,,,,,,,,,,
R9,a<4>,IOB,IO_L32N_4/GCLK1,INPUT,LVCMOS25,4,,,,NONE,,,,NO,NONE,
R10,a<13>,IOB,IO_L30P_4/D3,INPUT,LVCMOS25,4,,,,NONE,,,,NO,NONE,
R11,b<0>,IOB,IO_L28P_4,INPUT,LVCMOS25,4,,,,NONE,,,,NO,NONE,
R12,b<3>,IOB,IO_L25P_4,INPUT,LVCMOS25,4,,,,NONE,,,,NO,NONE,
R13,,DIFFS,IO_L01N_4/VRP_4,UNUSED,,4,,,,,,,,,,
R14,,,DONE,,,,,,,,,,,,,
R15,,,GND,,,,,,,,,,,,,
R16,,DIFFM,IO_L01P_3/VRN_3,UNUSED,,3,,,,,,,,,,
T1,,,GND,,,,,,,,,,,,,
T2,,,M1,,,,,,,,,,,,,
T3,result<3>,IOB,IO_L01N_5/RDWR_B,OUTPUT,LVCMOS25,5,12,SLOW,NONE**,,,,,YES,NONE,
T4,result<1>,IOB,IO_L10N_5/VRP_5,OUTPUT,LVCMOS25,5,12,SLOW,NONE**,,,,,YES,NONE,
T5,result<12>,IOB,IO,OUTPUT,LVCMOS25,5,12,SLOW,NONE**,,,,,YES,NONE,
T6,,,VCCAUX,,,,,,,,2.5,,,,,
T7,a<6>,IOB,IO_L31N_5/D4,INPUT,LVCMOS25,5,,,,NONE,,,,NO,NONE,
T8,b<2>,IOB,IO/VREF_5,INPUT,LVCMOS25,5,,,,NONE,,,,NO,NONE,
T9,clk,IOB,IO_L32P_4/GCLK0,INPUT,LVCMOS25,4,,,,NONE,,LOCATED,,NO,NONE,
T10,a<1>,IOB,IO/VREF_4,INPUT,LVCMOS25,4,,,,NONE,,,,NO,NONE,
T11,,,VCCAUX,,,,,,,,2.5,,,,,
T12,a<3>,IOB,IO,INPUT,LVCMOS25,4,,,,NONE,,,,NO,NONE,
T13,,DIFFM,IO_L01P_4/VRN_4,UNUSED,,4,,,,,,,,,,
T14,,DIFFS,IO,UNUSED,,4,,,,,,,,,,
T15,,,CCLK,,,,,,,,,,,,,
T16,,,GND,,,,,,,,,,,,,

# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
# 
#* Default value.
#** This default Pullup/Pulldown value can be overridden in Bitgen. 
#****** This value can be any of the allowed voltages 
#       (1.2v,1.5v,1.8v,2.5v,3.3v) or VCCAUX 
#
#
#
